buf,sl,rr,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct,risk
2.0,4.0,2.0,549.6666666666666,34.567208300205166,0.9631326755412934,0.014176849727656898,-0.014112801796219756,0.011542740254414114,-749.1058980551946,260.89695457361734,-1203.8407294969347,45.411958569986325,0.0,-14.98211796110389,6.0
2.0,4.0,3.0,551.5,26.17167775056947,0.9676338928750644,0.05197034833263955,-0.004303929321937752,0.043104587228112806,-600.3446993372776,1170.7517216058181,-1377.4812461760448,42.29253476304791,0.16666666666666666,-12.00689398674555,6.0
2.0,6.0,1.0,549.3333333333334,51.06392996847284,0.9634509835035051,0.05438794883316283,-0.016492745430631246,0.035878127622512114,-554.2300348249516,829.019008746398,-1869.75887786166,37.943914475264705,0.3333333333333333,-11.084600696499031,8.0
2.0,6.0,1.5,548.5,42.054125314338314,1.0030182925620603,0.05086410834203709,0.013675155464622113,0.03704913122926436,141.71528477561716,1001.7041341070181,-1363.2041236294626,36.437961537415944,0.5,2.8343056955123433,8.0
2.0,6.0,2.0,547.6666666666666,35.02880886603504,0.9956286917518367,0.023580665051625038,0.012379655931060829,0.01814082382809839,-64.01385283105958,493.0679309399753,-557.5825925338777,32.906055158719084,0.3333333333333333,-1.2802770566211914,8.0
2.0,6.0,3.0,547.3333333333334,29.049637642867243,1.1205410888377523,0.03606573378199646,0.12337744088019996,0.02900007914367422,3675.99254488662,1344.6435587242638,2171.4887270528143,32.865092015316996,1.0,73.5198508977324,8.0
2.0,10.0,1.0,548.3333333333334,50.42579759923373,0.9574224250539913,0.022864189505511803,-0.0164840480153254,0.013093392540097577,-608.8064101198667,316.37531037700245,-984.6771086812619,31.77096096898437,0.0,-12.17612820239733,12.0
2.0,10.0,1.5,546.1666666666666,40.0976457562542,0.950420488164681,0.028205118738464877,-0.023225184697932198,0.020016576566052005,-843.6494551409883,481.25514363563593,-1271.9789857102958,40.07790955967196,0.16666666666666666,-16.872989102819762,12.0
2.0,10.0,2.0,543.5,36.03278489126018,1.0537183869087703,0.02060043607353524,0.05637914403409336,0.015949400552788335,1251.1731961394892,539.4332331772426,711.0667819273299,35.20463091523208,1.0,25.02346392278979,12.0
2.0,10.0,3.0,537.5,27.37992892590897,1.0543345463355815,0.023476177137622314,0.06912151149196714,0.019312891175748102,1378.0184525009752,634.9107370931646,384.49762279402876,40.58595134980845,1.0,27.560369050019503,12.0
2.0,15.0,1.0,542.5,50.415160609148785,0.9617522150205229,0.016857799112253668,-0.012366584047961876,0.0091724122936614,-512.965425113497,224.91035947883802,-793.2588324827769,22.471377044731046,0.0,-10.259308502269938,17.0
2.0,15.0,1.5,528.6666666666666,44.229889907622244,1.1139893230010716,0.03966530284915112,0.08384923489621059,0.024434889653349213,2365.292714186411,953.8978468054974,1090.379226660577,28.913754454780882,1.0,47.30585428372822,17.0
2.0,15.0,2.0,517.8333333333334,37.98083842792783,1.151726486909626,0.048144999092662455,0.11937597995557792,0.032332839221907654,3570.8564905640355,1325.8770489467627,1339.772154314027,29.580868903527374,1.0,71.41712981128072,17.0
2.0,15.0,3.0,501.3333333333333,27.495535207450946,1.0580177347929496,0.032265015689816184,0.07468089847071785,0.02776724038152825,1457.9105017373329,819.3766801262551,27.46978441547799,35.98411515006908,1.0,29.158210034746656,17.0
3.15,1.0,1.0,539.3333333333334,51.17662903596983,0.8922746089660828,0.05786310406877218,-0.050196862732504254,0.032606357613694265,-1298.5011725099055,657.7022820340662,-2040.2147455284294,38.053000833478926,0.0,-25.97002345019811,4.15
3.15,1.0,1.5,539.8333333333334,40.1361645207593,0.8764100544945705,0.06371555991893783,-0.0717225771601111,0.04409091237729115,-1739.3050815437853,806.161103362657,-2445.172278161436,46.117052523713774,0.0,-34.7861016308757,4.15
3.15,1.0,2.0,539.3333333333334,35.0402923882408,0.9464891084639172,0.11757869966433311,-0.024749401270002084,0.08361908930047865,-604.5912235683032,2229.4605067475845,-2480.523228500795,44.43620845184921,0.16666666666666666,-12.09182447136606,4.15
3.15,1.0,3.0,540.0,24.815959107346618,0.859445046662351,0.05132045498207977,-0.08542214370384389,0.04663819668090827,-2140.825685119414,622.5022371935755,-3250.223066686774,51.618403174302614,0.0,-42.81651370238828,4.15
3.15,2.0,1.0,539.5,49.86429248558857,0.8700841546964663,0.051429188589108506,-0.06484839864997831,0.029159375642357776,-1591.0537187544178,556.8298068218922,-2236.9380617905454,41.98474788615721,0.0,-31.821074375088358,5.15
3.15,2.0,1.5,539.8333333333334,41.03408438607237,0.9395887180046589,0.08251850077017861,-0.03276364125995292,0.05978955584918836,-910.8630709522381,1214.485298611834,-2634.6825135423423,42.99518040603931,0.3333333333333333,-18.21726141904476,5.15
