i,dt,ref,up,dn,d_up,d_dn,nearer,near_dist,far_dist,first,p_up_baseline,went_nearer,p_near_base,bucket
194363,2024-03-20 09:00:00,2158.855,2200.0,2100.0,41.14499999999998,58.85500000000002,up,41.14499999999998,58.85500000000002,up,0.5885500000000001,True,0.5885500000000001,40-50
194455,2024-03-21 09:00:00,2203.754,2300.0,2200.0,96.2460000000001,3.7539999999999054,dn,3.7539999999999054,96.2460000000001,dn,0.03753999999999905,True,0.962460000000001,0-10
194915,2024-03-28 09:00:00,2194.685,2200.0,2100.0,5.315000000000055,94.68499999999995,up,5.315000000000055,94.68499999999995,up,0.9468499999999994,True,0.9468499999999994,0-10
195191,2024-04-03 09:00:00,2283.915,2300.0,2200.0,16.085000000000036,83.91499999999996,up,16.085000000000036,83.91499999999996,up,0.8391499999999996,True,0.8391499999999996,10-20
195283,2024-04-04 09:00:00,2299.555,2300.0,2200.0,0.4450000000001637,99.55499999999984,up,0.4450000000001637,99.55499999999984,up,0.9955499999999984,True,0.9955499999999984,0-10
195375,2024-04-05 09:00:00,2278.285,2300.0,2200.0,21.715000000000146,78.28499999999985,up,21.715000000000146,78.28499999999985,up,0.7828499999999985,True,0.7828499999999985,20-30
195835,2024-04-12 09:00:00,2388.085,2400.0,2300.0,11.914999999999964,88.08500000000004,up,11.914999999999964,88.08500000000004,up,0.8808500000000004,True,0.8808500000000004,10-20
196203,2024-04-18 09:00:00,2374.545,2400.0,2300.0,25.454999999999927,74.54500000000007,up,25.454999999999927,74.54500000000007,up,0.7454500000000007,True,0.7454500000000007,20-30
196295,2024-04-19 09:00:00,2385.745,2400.0,2300.0,14.25500000000011,85.74499999999989,up,14.25500000000011,85.74499999999989,up,0.8574499999999989,True,0.8574499999999989,10-20
196387,2024-04-22 09:00:00,2364.385,2400.0,2300.0,35.61499999999978,64.38500000000022,up,35.61499999999978,64.38500000000022,dn,0.6438500000000021,False,0.6438500000000021,30-40
196479,2024-04-23 09:00:00,2302.945,2400.0,2300.0,97.05499999999984,2.9450000000001637,dn,2.9450000000001637,97.05499999999984,dn,0.029450000000001638,True,0.9705499999999984,0-10
196939,2024-04-30 09:00:00,2328.515,2400.0,2300.0,71.48500000000013,28.514999999999873,dn,28.514999999999873,71.48500000000013,dn,0.28514999999999874,True,0.7148500000000013,20-30
197031,2024-05-01 09:00:00,2287.325,2300.0,2200.0,12.675000000000182,87.32499999999982,up,12.675000000000182,87.32499999999982,up,0.8732499999999982,True,0.8732499999999982,10-20
197123,2024-05-02 09:00:00,2319.725,2400.0,2300.0,80.27500000000009,19.72499999999991,dn,19.72499999999991,80.27500000000009,dn,0.1972499999999991,True,0.802750000000001,10-20
197215,2024-05-03 09:00:00,2301.378,2400.0,2300.0,98.62199999999984,1.3780000000001564,dn,1.3780000000001564,98.62199999999984,dn,0.013780000000001564,True,0.9862199999999984,0-10
198135,2024-05-17 09:00:00,2376.615,2400.0,2300.0,23.38500000000022,76.61499999999978,up,23.38500000000022,76.61499999999978,up,0.7661499999999978,True,0.7661499999999978,20-30
198411,2024-05-22 09:00:00,2418.454,2500.0,2400.0,81.54599999999982,18.45400000000018,dn,18.45400000000018,81.54599999999982,dn,0.18454000000000179,True,0.8154599999999982,10-20
199505,2024-06-07 09:00:00,2377.875,2400.0,2300.0,22.125,77.875,up,22.125,77.875,dn,0.77875,False,0.77875,20-30
199597,2024-06-10 09:00:00,2296.395,2300.0,2200.0,3.605000000000018,96.39499999999998,up,3.605000000000018,96.39499999999998,up,0.9639499999999999,True,0.9639499999999999,0-10
199689,2024-06-11 09:00:00,2303.505,2400.0,2300.0,96.49499999999989,3.505000000000109,dn,3.505000000000109,96.49499999999989,dn,0.035050000000001094,True,0.9649499999999989,0-10
199873,2024-06-13 09:00:00,2314.325,2400.0,2300.0,85.67500000000018,14.324999999999818,dn,14.324999999999818,85.67500000000018,dn,0.14324999999999818,True,0.8567500000000018,10-20
200691,2024-06-26 09:00:00,2320.448,2400.0,2300.0,79.55200000000013,20.447999999999865,dn,20.447999999999865,79.55200000000013,dn,0.20447999999999866,True,0.7955200000000013,20-30
200783,2024-06-27 09:00:00,2298.575,2300.0,2200.0,1.425000000000182,98.57499999999982,up,1.425000000000182,98.57499999999982,up,0.9857499999999981,True,0.9857499999999981,0-10
201693,2024-07-11 09:00:00,2379.455,2400.0,2300.0,20.545000000000073,79.45499999999993,up,20.545000000000073,79.45499999999993,up,0.7945499999999993,True,0.7945499999999993,20-30
201785,2024-07-12 09:00:00,2409.035,2500.0,2400.0,90.96500000000015,9.034999999999854,dn,9.034999999999854,90.96500000000015,dn,0.09034999999999854,True,0.9096500000000014,0-10
202245,2024-07-19 09:00:00,2426.645,2500.0,2400.0,73.35500000000002,26.644999999999982,dn,26.644999999999982,73.35500000000002,dn,0.2664499999999998,True,0.7335500000000001,20-30
202337,2024-07-22 09:00:00,2408.905,2500.0,2400.0,91.0949999999998,8.9050000000002,dn,8.9050000000002,91.0949999999998,dn,0.089050000000002,True,0.910949999999998,0-10
202429,2024-07-23 09:00:00,2398.315,2400.0,2300.0,1.6849999999999454,98.31500000000005,up,1.6849999999999454,98.31500000000005,up,0.9831500000000005,True,0.9831500000000005,0-10
202521,2024-07-24 09:00:00,2417.075,2500.0,2400.0,82.92500000000018,17.074999999999818,dn,17.074999999999818,82.92500000000018,dn,0.17074999999999818,True,0.8292500000000018,10-20
202705,2024-07-26 09:00:00,2376.455,2400.0,2300.0,23.545000000000073,76.45499999999993,up,23.545000000000073,76.45499999999993,up,0.7645499999999993,True,0.7645499999999993,20-30
202889,2024-07-30 09:00:00,2384.345,2400.0,2300.0,15.6550000000002,84.3449999999998,up,15.6550000000002,84.3449999999998,up,0.843449999999998,True,0.843449999999998,10-20
203257,2024-08-05 09:00:00,2444.295,2500.0,2400.0,55.70499999999993,44.29500000000007,dn,44.29500000000007,55.70499999999993,dn,0.44295000000000073,True,0.5570499999999993,40-50
203349,2024-08-06 09:00:00,2409.565,2500.0,2400.0,90.43499999999995,9.565000000000055,dn,9.565000000000055,90.43499999999995,dn,0.09565000000000054,True,0.9043499999999994,0-10
203441,2024-08-07 09:00:00,2385.685,2400.0,2300.0,14.315000000000055,85.68499999999995,up,14.315000000000055,85.68499999999995,up,0.8568499999999994,True,0.8568499999999994,10-20
203533,2024-08-08 09:00:00,2389.505,2400.0,2300.0,10.49499999999989,89.50500000000011,up,10.49499999999989,89.50500000000011,up,0.8950500000000011,True,0.8950500000000011,10-20
204085,2024-08-16 09:00:00,2451.485,2500.0,2400.0,48.51499999999987,51.48500000000013,up,48.51499999999987,51.48500000000013,up,0.5148500000000013,True,0.5148500000000013,40-50
204177,2024-08-19 09:00:00,2501.595,2600.0,2500.0,98.4050000000002,1.5949999999998,dn,1.5949999999998,98.4050000000002,dn,0.015949999999998,True,0.984050000000002,0-10
204269,2024-08-20 09:00:00,2501.125,2600.0,2500.0,98.875,1.125,dn,1.125,98.875,dn,0.01125,True,0.98875,0-10
204361,2024-08-21 09:00:00,2513.338,2600.0,2500.0,86.66199999999981,13.338000000000193,dn,13.338000000000193,86.66199999999981,dn,0.13338000000000194,True,0.8666199999999981,10-20
204453,2024-08-22 09:00:00,2502.665,2600.0,2500.0,97.33500000000004,2.6649999999999636,dn,2.6649999999999636,97.33500000000004,dn,0.026649999999999636,True,0.9733500000000004,0-10
204545,2024-08-23 09:00:00,2492.995,2500.0,2400.0,7.005000000000109,92.99499999999989,up,7.005000000000109,92.99499999999989,up,0.9299499999999989,True,0.9299499999999989,0-10
204821,2024-08-28 09:00:00,2515.015,2600.0,2500.0,84.98500000000013,15.014999999999873,dn,15.014999999999873,84.98500000000013,dn,0.15014999999999873,True,0.8498500000000013,10-20
205005,2024-08-30 09:00:00,2514.005,2600.0,2500.0,85.99499999999989,14.00500000000011,dn,14.00500000000011,85.99499999999989,dn,0.1400500000000011,True,0.8599499999999989,10-20
205097,2024-09-02 09:00:00,2494.655,2500.0,2400.0,5.3449999999998,94.6550000000002,up,5.3449999999998,94.6550000000002,up,0.946550000000002,True,0.946550000000002,0-10
205179,2024-09-03 09:00:00,2495.695,2500.0,2400.0,4.304999999999836,95.69500000000016,up,4.304999999999836,95.69500000000016,up,0.9569500000000016,True,0.9569500000000016,0-10
205271,2024-09-04 09:00:00,2494.245,2500.0,2400.0,5.755000000000109,94.24499999999989,up,5.755000000000109,94.24499999999989,up,0.9424499999999989,True,0.9424499999999989,0-10
205363,2024-09-05 09:00:00,2496.655,2500.0,2400.0,3.3449999999998,96.6550000000002,up,3.3449999999998,96.6550000000002,up,0.966550000000002,True,0.966550000000002,0-10
205455,2024-09-06 09:00:00,2517.305,2600.0,2500.0,82.69500000000016,17.304999999999836,dn,17.304999999999836,82.69500000000016,dn,0.17304999999999837,True,0.8269500000000016,10-20
205547,2024-09-09 09:00:00,2497.715,2500.0,2400.0,2.2849999999998545,97.71500000000015,up,2.2849999999998545,97.71500000000015,up,0.9771500000000014,True,0.9771500000000014,0-10
206375,2024-09-20 09:00:00,2592.475,2600.0,2500.0,7.525000000000091,92.47499999999991,up,7.525000000000091,92.47499999999991,up,0.9247499999999991,True,0.9247499999999991,0-10
208123,2024-10-17 09:00:00,2678.585,2700.0,2600.0,21.414999999999964,78.58500000000004,up,21.414999999999964,78.58500000000004,up,0.7858500000000004,True,0.7858500000000004,20-30
209407,2024-11-06 09:00:00,2731.385,2800.0,2700.0,68.61499999999978,31.38500000000022,dn,31.38500000000022,68.61499999999978,dn,0.3138500000000022,True,0.6861499999999978,30-40
209499,2024-11-07 09:00:00,2656.325,2700.0,2600.0,43.67500000000018,56.32499999999982,up,43.67500000000018,56.32499999999982,up,0.5632499999999981,True,0.5632499999999981,40-50
209591,2024-11-08 09:00:00,2695.385,2700.0,2600.0,4.614999999999782,95.38500000000022,up,4.614999999999782,95.38500000000022,up,0.9538500000000022,True,0.9538500000000022,0-10
209775,2024-11-12 09:00:00,2622.875,2700.0,2600.0,77.125,22.875,dn,22.875,77.125,dn,0.22875,True,0.77125,20-30
209867,2024-11-13 09:00:00,2608.308,2700.0,2600.0,91.69200000000001,8.307999999999993,dn,8.307999999999993,91.69200000000001,dn,0.08307999999999993,True,0.9169200000000001,0-10
210143,2024-11-18 09:00:00,2589.405,2600.0,2500.0,10.5949999999998,89.4050000000002,up,10.5949999999998,89.4050000000002,up,0.894050000000002,True,0.894050000000002,10-20
210511,2024-11-22 09:00:00,2686.385,2700.0,2600.0,13.614999999999782,86.38500000000022,up,13.614999999999782,86.38500000000022,up,0.8638500000000022,True,0.8638500000000022,10-20
211596,2024-12-10 09:00:00,2667.154,2700.0,2600.0,32.846000000000004,67.154,up,32.846000000000004,67.154,up,0.6715399999999999,True,0.6715399999999999,30-40
211688,2024-12-11 09:00:00,2700.244,2800.0,2700.0,99.75599999999986,0.24400000000014188,dn,0.24400000000014188,99.75599999999986,dn,0.002440000000001419,True,0.9975599999999986,0-10
211780,2024-12-12 09:00:00,2707.605,2800.0,2700.0,92.39499999999998,7.605000000000018,dn,7.605000000000018,92.39499999999998,dn,0.07605000000000019,True,0.9239499999999998,0-10
212148,2024-12-18 09:00:00,2645.955,2700.0,2600.0,54.04500000000007,45.95499999999993,dn,45.95499999999993,54.04500000000007,dn,0.4595499999999993,True,0.5404500000000008,40-50
212240,2024-12-19 09:00:00,2608.355,2700.0,2600.0,91.64499999999998,8.355000000000018,dn,8.355000000000018,91.64499999999998,dn,0.08355000000000018,True,0.9164499999999998,0-10
212332,2024-12-20 09:00:00,2597.985,2600.0,2500.0,2.0149999999998727,97.98500000000013,up,2.0149999999998727,97.98500000000013,up,0.9798500000000012,True,0.9798500000000012,0-10
212779,2024-12-30 09:00:00,2627.025,2700.0,2600.0,72.97499999999991,27.02500000000009,dn,27.02500000000009,72.97499999999991,dn,0.27025000000000093,True,0.729749999999999,20-30
213791,2025-01-15 09:00:00,2675.195,2700.0,2600.0,24.804999999999836,75.19500000000016,up,24.804999999999836,75.19500000000016,up,0.7519500000000017,True,0.7519500000000017,20-30
213883,2025-01-16 09:00:00,2696.288,2700.0,2600.0,3.711999999999989,96.28800000000001,up,3.711999999999989,96.28800000000001,up,0.9628800000000001,True,0.9628800000000001,0-10
213975,2025-01-17 09:00:00,2715.479,2800.0,2700.0,84.52100000000019,15.478999999999814,dn,15.478999999999814,84.52100000000019,dn,0.15478999999999815,True,0.8452100000000018,10-20
214885,2025-01-31 09:00:00,2796.545,2800.0,2700.0,3.4549999999999272,96.54500000000007,up,3.4549999999999272,96.54500000000007,up,0.9654500000000007,True,0.9654500000000007,0-10
214977,2025-02-03 09:00:00,2775.225,2800.0,2700.0,24.77500000000009,75.22499999999991,up,24.77500000000009,75.22499999999991,up,0.7522499999999991,True,0.7522499999999991,20-30
215437,2025-02-10 09:00:00,2873.255,2900.0,2800.0,26.74499999999989,73.25500000000011,up,26.74499999999989,73.25500000000011,up,0.7325500000000011,True,0.7325500000000011,20-30
215529,2025-02-11 09:00:00,2922.015,3000.0,2900.0,77.98500000000013,22.014999999999873,dn,22.014999999999873,77.98500000000013,dn,0.22014999999999874,True,0.7798500000000013,20-30
215621,2025-02-12 09:00:00,2889.515,2900.0,2800.0,10.485000000000127,89.51499999999987,up,10.485000000000127,89.51499999999987,up,0.8951499999999988,True,0.8951499999999988,10-20
215805,2025-02-14 09:00:00,2928.635,3000.0,2900.0,71.36499999999978,28.63500000000022,dn,28.63500000000022,71.36499999999978,dn,0.28635000000000216,True,0.7136499999999979,20-30
215897,2025-02-17 09:00:00,2900.975,3000.0,2900.0,99.02500000000009,0.974999999999909,dn,0.974999999999909,99.02500000000009,dn,0.009749999999999091,True,0.990250000000001,0-10
216439,2025-02-25 09:00:00,2944.708,3000.0,2900.0,55.291999999999916,44.708000000000084,dn,44.708000000000084,55.291999999999916,dn,0.4470800000000008,True,0.5529199999999992,40-50
216531,2025-02-26 09:00:00,2920.215,3000.0,2900.0,79.78499999999985,20.215000000000146,dn,20.215000000000146,79.78499999999985,dn,0.20215000000000147,True,0.7978499999999985,20-30
216623,2025-02-27 09:00:00,2907.905,3000.0,2900.0,92.0949999999998,7.9050000000002,dn,7.9050000000002,92.0949999999998,dn,0.07905000000000201,True,0.9209499999999979,0-10
216899,2025-03-04 09:00:00,2891.855,2900.0,2800.0,8.144999999999982,91.85500000000002,up,8.144999999999982,91.85500000000002,up,0.9185500000000002,True,0.9185500000000002,0-10
216991,2025-03-05 09:00:00,2910.365,3000.0,2900.0,89.63500000000022,10.364999999999782,dn,10.364999999999782,89.63500000000022,dn,0.10364999999999781,True,0.8963500000000022,10-20
217083,2025-03-06 09:00:00,2922.948,3000.0,2900.0,77.05200000000013,22.947999999999865,dn,22.947999999999865,77.05200000000013,dn,0.22947999999999866,True,0.7705200000000013,20-30
217271,2025-03-10 09:00:00,2911.708,3000.0,2900.0,88.29199999999992,11.708000000000084,dn,11.708000000000084,88.29199999999992,dn,0.11708000000000084,True,0.8829199999999991,10-20
217363,2025-03-11 09:00:00,2895.578,2900.0,2800.0,4.4220000000000255,95.57799999999997,up,4.4220000000000255,95.57799999999997,up,0.9557799999999997,True,0.9557799999999997,0-10
217639,2025-03-14 09:00:00,2987.295,3000.0,2900.0,12.704999999999927,87.29500000000007,up,12.704999999999927,87.29500000000007,up,0.8729500000000008,True,0.8729500000000008,10-20
217731,2025-03-17 09:00:00,2986.225,3000.0,2900.0,13.775000000000091,86.22499999999991,up,13.775000000000091,86.22499999999991,up,0.8622499999999991,True,0.8622499999999991,10-20
218099,2025-03-21 09:00:00,3030.415,3100.0,3000.0,69.58500000000004,30.414999999999964,dn,30.414999999999964,69.58500000000004,dn,0.30414999999999964,True,0.6958500000000003,30-40
218559,2025-03-28 09:00:00,3073.665,3100.0,3000.0,26.335000000000036,73.66499999999996,up,26.335000000000036,73.66499999999996,up,0.7366499999999996,True,0.7366499999999996,20-30
218651,2025-03-31 09:00:00,3107.848,3200.0,3100.0,92.15200000000004,7.847999999999956,dn,7.847999999999956,92.15200000000004,dn,0.07847999999999956,True,0.9215200000000004,0-10
218927,2025-04-03 09:00:00,3148.035,3200.0,3100.0,51.965000000000146,48.034999999999854,dn,48.034999999999854,51.965000000000146,dn,0.48034999999999856,True,0.5196500000000015,40-50
219019,2025-04-04 09:00:00,3093.175,3100.0,3000.0,6.824999999999818,93.17500000000018,up,6.824999999999818,93.17500000000018,up,0.9317500000000019,True,0.9317500000000019,0-10
219111,2025-04-07 09:00:00,3029.285,3100.0,3000.0,70.71500000000015,29.284999999999854,dn,29.284999999999854,70.71500000000015,dn,0.29284999999999856,True,0.7071500000000015,20-30
